"Name","Value"
"Schedule Name","Habituation and Conditioning_barpress_VI60   "
"Version","N/A"
"Environment","Test [1]"
"Machine Name","EPHYS-1-PC"
"Date/Time","11/19/2018 10:23:43"
"Database","*DEFAULT"
"Schedule Run ID","198"
"Finalized","No"
"Record Count","2565"
"Animal ID","FR6"
"Application_Version","ABET II Standard 2.18.5274.13905"
"Group ID","Hab+Con"
"Max_Number_Trials","0"
"Max_Schedule_Time","2550"
"Schedule_Description","VI Schedule of Reinforcement"
"Schedule_Start_Time","2018-11-19T10:23:44.017"
"User","Rebecca"
"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"90.874","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"91.535","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"91.599","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"91.93","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"92.721","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"93.052","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"93.117","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"93.448","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"93.579","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"93.778","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"104.866","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"104.866","7","Pulse Output Event","Pellet_Release #1","","2","1","Duration","0.05",,,,,,,,
"104.866","16","Variable Event","VI_Value","","2","1","Value","98",,,,,,,,
"105.395","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"107.044","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"108.166","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"108.297","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"108.43","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"108.495","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"108.76","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"109.683","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"110.146","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"110.343","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"110.41","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"114.567","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"114.832","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"114.897","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"115.294","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"117.801","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"118.396","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"118.461","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"118.725","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"119.384","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"119.583","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"119.648","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"120.309","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"120.374","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"121.298","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"125.059","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"125.852","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"128.095","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"128.294","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"135.355","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"136.346","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"136.41","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"136.807","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"136.938","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"137.137","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"137.664","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"138.259","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"138.324","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"138.654","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"146.243","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"147.234","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"147.365","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"147.63","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"147.695","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"148.025","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"148.09","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"148.421","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"158.386","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"159.773","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"162.544","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"163.402","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"165.183","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"165.844","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"165.975","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"166.701","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"168.218","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"168.615","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"168.681","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"168.945","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.01","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.143","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.208","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.407","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.472","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.539","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.604","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.737","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"169.801","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"170.066","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"170.197","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"170.33","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"170.989","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"171.056","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"171.121","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"171.452","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"171.649","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"171.716","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"171.781","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"172.771","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"199.566","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"200.49","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"200.687","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"200.952","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"201.017","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"201.678","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"215.272","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"215.272","7","Pulse Output Event","Pellet_Release #1","","2","1","Duration","0.05",,,,,,,,
"215.272","16","Variable Event","VI_Value","","2","1","Value","60",,,,,,,,
"215.603","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"220.024","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"220.42","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"221.008","1","Condition Event","Tone CS","","2","0",,,,,,,,,,
"242.661","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"243.519","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"243.65","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"243.783","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"248.468","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"248.865","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"250.712","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"251.008","1","Condition Event","Tone off_Hab","","2","0",,,,,,,,,,
