"Name","Value"
"Schedule Name","Habituation and Conditioning_barpress_VI60   "
"Version","N/A"
"Environment","Test [1]"
"Machine Name","EPHYS-1-PC"
"Date/Time","11/19/2018 11:15:58"
"Database","*DEFAULT"
"Schedule Run ID","199"
"Finalized","No"
"Record Count","1217"
"Animal ID","FR7"
"Application_Version","ABET II Standard 2.18.5274.13905"
"Group ID","Hab+Con"
"Max_Number_Trials","0"
"Max_Schedule_Time","2550"
"Schedule_Description","VI Schedule of Reinforcement"
"Schedule_Start_Time","2018-11-19T11:15:58.686"
"User","Rebecca"
"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","16","Variable Event","ITI_Value","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","VI_Value","","0","1","Value","0",,,,,,,,
"0.008","16","Variable Event","ITI_Value","","1","1","Value","221",,,,,,,,
"0.008","16","Variable Event","VI_Value","","1","1","Value","66",,,,,,,,
"8.173","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"8.636","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"8.833","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"9.098","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"20.186","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"20.78","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"31.67","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"31.935","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"40.053","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"40.318","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"61.835","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"62.1","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"65.333","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"65.862","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"72.791","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"72.791","7","Pulse Output Event","Pellet_Release #1","","2","1","Duration","0.05",,,,,,,,
"72.791","16","Variable Event","VI_Value","","2","1","Value","30",,,,,,,,
"73.056","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"78.071","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"78.797","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"84.935","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"85.266","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"103.02","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"103.02","7","Pulse Output Event","Pellet_Release #1","","2","1","Duration","0.05",,,,,,,,
"103.02","16","Variable Event","VI_Value","","2","1","Value","71",,,,,,,,
"103.483","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"111.138","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"111.667","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"114.504","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
